Jul 06 16:18:13 vps python3[62025]: 2026-07-06 16:18:13,302 [INFO] strategy.weather_arb: [STRUCT-BAND-Q] cap=$141 phase=1 no_resv=1.00 tailno=off queue=1 posted=0 cash_preskip=0 books=2/80 yes_books=0/50 no_cands=0 pair_cands=1 yes_resv_skip=0 mode=rank cells[rank]
Jul 06 16:23:22 vps python3[62025]: 2026-07-06 16:23:22,561 [INFO] strategy.weather_arb: [STRUCT-BAND-Q] cap=$141 phase=1 no_resv=1.00 tailno=off queue=1 posted=0 cash_preskip=0 books=2/80 yes_books=0/50 no_cands=0 pair_cands=1 yes_resv_skip=0 mode=rank cells[rank]
Jul 06 16:28:29 vps python3[62025]: 2026-07-06 16:28:29,570 [INFO] strategy.weather_arb: [STRUCT-BAND-Q] cap=$134 phase=1 no_resv=1.00 tailno=off queue=1 posted=0 cash_preskip=0 books=2/80 yes_books=0/50 no_cands=0 pair_cands=1 yes_resv_skip=0 mode=rank cells[rank]
Jul 06 16:33:31 vps python3[62025]: 2026-07-06 16:33:31,793 [INFO] strategy.weather_arb: [STRUCT-BAND-Q] cap=$134 phase=1 no_resv=1.00 tailno=off queue=1 posted=0 cash_preskip=0 books=2/80 yes_books=0/50 no_cands=0 pair_cands=1 yes_resv_skip=0 mode=rank cells[rank]
Jul 06 16:38:38 vps python3[62025]: 2026-07-06 16:38:38,140 [INFO] strategy.weather_arb: [STRUCT-BAND-Q] cap=$134 phase=1 no_resv=1.00 tailno=off queue=1 posted=0 cash_preskip=0 books=2/80 yes_books=0/50 no_cands=0 pair_cands=1 yes_resv_skip=0 mode=rank cells[rank]
Jul 06 16:43:44 vps python3[62025]: 2026-07-06 16:43:44,418 [INFO] strategy.weather_arb: [STRUCT-BAND-Q] cap=$134 phase=1 no_resv=1.00 tailno=off queue=1 posted=0 cash_preskip=0 books=2/80 yes_books=0/50 no_cands=0 pair_cands=1 yes_resv_skip=0 mode=rank cells[rank]
Jul 06 16:48:53 vps python3[62025]: 2026-07-06 16:48:53,445 [INFO] strategy.weather_arb: [STRUCT-BAND-Q] cap=$134 phase=1 no_resv=1.00 tailno=off queue=1 posted=0 cash_preskip=0 books=2/80 yes_books=0/50 no_cands=0 pair_cands=1 yes_resv_skip=0 mode=rank cells[rank]
Jul 06 16:54:08 vps python3[62025]: 2026-07-06 16:54:08,196 [INFO] strategy.weather_arb: [STRUCT-BAND-Q] cap=$134 phase=1 no_resv=1.00 tailno=off queue=1 posted=0 cash_preskip=0 books=2/80 yes_books=0/50 no_cands=0 pair_cands=1 yes_resv_skip=0 mode=rank cells[rank]
Jul 06 16:59:21 vps python3[62025]: 2026-07-06 16:59:21,589 [INFO] strategy.weather_arb: [STRUCT-BAND-Q] cap=$134 phase=1 no_resv=1.00 tailno=off queue=1 posted=0 cash_preskip=0 books=2/80 yes_books=0/50 no_cands=0 pair_cands=1 yes_resv_skip=0 mode=rank cells[rank]
Jul 08 01:00:22 vps python3[274925]: 2026-07-08 01:00:22,904 [WARNING] strategy.weather_arb: [USER-WS] UNTRACKED FILL: token=5176413527049596 side=BUY price=0.38 size=18 status=CONFIRMED trader_side=TAKER — no tracker entry, no open position
Jul 08 01:10:09 vps python3[274925]: 2026-07-08 01:10:09,848 [WARNING] strategy.weather_arb: [USER-WS] UNTRACKED FILL: token=5725835320792620 side=BUY price=0.34 size=130.5 status=MATCHED trader_side=TAKER — no tracker entry, no open position
Jul 08 01:10:12 vps python3[274925]: 2026-07-08 01:10:12,010 [WARNING] strategy.weather_arb: [USER-WS] UNTRACKED FILL: token=5725835320792620 side=BUY price=0.34 size=130.5 status=MINED trader_side=TAKER — no tracker entry, no open position
Jul 08 01:10:19 vps python3[274925]: 2026-07-08 01:10:19,626 [WARNING] strategy.weather_arb: [USER-WS] UNTRACKED FILL: token=5725835320792620 side=BUY price=0.34 size=130.5 status=CONFIRMED trader_side=TAKER — no tracker entry, no open position
Jul 08 16:50:56 vps python3[424674]: 2026-07-08 16:50:56,198 [WARNING] strategy.weather_arb: [USER-WS] UNTRACKED FILL: token=5035223986453158 side=BUY price=0.55 size=44.25 status=MATCHED trader_side=TAKER — no tracker entry, no open position
Jul 08 16:50:58 vps python3[424674]: 2026-07-08 16:50:58,266 [WARNING] strategy.weather_arb: [USER-WS] UNTRACKED FILL: token=5035223986453158 side=BUY price=0.55 size=44.25 status=MINED trader_side=TAKER — no tracker entry, no open position
Jul 08 16:51:05 vps python3[424674]: 2026-07-08 16:51:05,142 [WARNING] strategy.weather_arb: [USER-WS] UNTRACKED FILL: token=5035223986453158 side=BUY price=0.55 size=44.25 status=CONFIRMED trader_side=TAKER — no tracker entry, no open position
Jul 09 00:10:03 vps python3[468863]: 2026-07-09 00:10:03,282 [WARNING] strategy.weather_arb: [USER-WS] UNTRACKED FILL: token=5035223986453158 side=SELL price=0.996 size=44 status=MATCHED trader_side=TAKER — no tracker entry, no open position
Jul 09 00:10:05 vps python3[468863]: 2026-07-09 00:10:05,345 [WARNING] strategy.weather_arb: [USER-WS] UNTRACKED FILL: token=5035223986453158 side=SELL price=0.996 size=44 status=MINED trader_side=TAKER — no tracker entry, no open position
Jul 09 00:10:06 vps python3[468863]: 2026-07-09 00:10:06,335 [WARNING] strategy.weather_arb: [USER-WS] UNTRACKED FILL: token=4409657373007951 side=BUY price=0.399 size=129 status=MATCHED trader_side=TAKER — no tracker entry, no open position
Jul 09 00:10:08 vps python3[468863]: 2026-07-09 00:10:08,402 [WARNING] strategy.weather_arb: [USER-WS] UNTRACKED FILL: token=4409657373007951 side=BUY price=0.399 size=129 status=MINED trader_side=TAKER — no tracker entry, no open position
Jul 09 00:10:11 vps python3[468863]: 2026-07-09 00:10:11,321 [WARNING] strategy.weather_arb: [USER-WS] UNTRACKED FILL: token=5035223986453158 side=SELL price=0.996 size=44 status=CONFIRMED trader_side=TAKER — no tracker entry, no open position
Jul 09 00:10:16 vps python3[468863]: 2026-07-09 00:10:16,842 [WARNING] strategy.weather_arb: [USER-WS] UNTRACKED FILL: token=4409657373007951 side=BUY price=0.399 size=129 status=CONFIRMED trader_side=TAKER — no tracker entry, no open position
Jul 09 01:00:16 vps python3[468863]: 2026-07-09 01:00:16,462 [WARNING] strategy.weather_arb: [USER-WS] UNTRACKED FILL: token=9106278428823737 side=BUY price=0.38 size=37 status=MATCHED trader_side=TAKER — no tracker entry, no open position
Jul 09 01:00:18 vps python3[468863]: 2026-07-09 01:00:18,495 [WARNING] strategy.weather_arb: [USER-WS] UNTRACKED FILL: token=9106278428823737 side=BUY price=0.38 size=37 status=MINED trader_side=TAKER — no tracker entry, no open position
Jul 09 01:00:24 vps python3[468863]: 2026-07-09 01:00:24,008 [WARNING] strategy.weather_arb: [USER-WS] UNTRACKED FILL: token=9106278428823737 side=BUY price=0.38 size=37 status=CONFIRMED trader_side=TAKER — no tracker entry, no open position
Jul 09 07:30:05 vps python3[468863]: 2026-07-09 07:30:05,638 [WARNING] strategy.weather_arb: [USER-WS] UNTRACKED FILL: token=4409657373007951 side=SELL price=0.992 size=129 status=MATCHED trader_side=TAKER — no tracker entry, no open position
Jul 09 07:30:06 vps python3[468863]: 2026-07-09 07:30:06,195 [WARNING] strategy.weather_arb: [USER-WS] UNTRACKED FILL: token=4409657373007951 side=SELL price=0.992 size=129 status=MINED trader_side=TAKER — no tracker entry, no open position
Jul 09 07:30:13 vps python3[468863]: 2026-07-09 07:30:13,704 [WARNING] strategy.weather_arb: [USER-WS] UNTRACKED FILL: token=4409657373007951 side=SELL price=0.992 size=129 status=CONFIRMED trader_side=TAKER — no tracker entry, no open position
Jul 09 07:40:11 vps python3[468863]: 2026-07-09 07:40:11,912 [WARNING] strategy.weather_arb: [USER-WS] UNTRACKED FILL: token=3360836802715119 side=BUY price=0.53 size=10 status=MATCHED trader_side=TAKER — no tracker entry, no open position
Jul 09 07:40:18 vps python3[468863]: 2026-07-09 07:40:18,306 [WARNING] strategy.weather_arb: [USER-WS] UNTRACKED FILL: token=3360836802715119 side=BUY price=0.53 size=10 status=MINED trader_side=TAKER — no tracker entry, no open position
Jul 09 07:40:19 vps python3[468863]: 2026-07-09 07:40:19,463 [WARNING] strategy.weather_arb: [USER-WS] UNTRACKED FILL: token=3360836802715119 side=BUY price=0.53 size=10 status=CONFIRMED trader_side=TAKER — no tracker entry, no open position
